depart,intellig,laboratori,file,home,cs,comput,scienc,pp,cours,group,network,solut,research,program,rice,homework,assign,columbia,pittsburgh,parallel,georgia,urc,robot,server,project,inform,austin,page,classification
0,0,0,0,1,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,course
0,0,0,0,1,0,2,0,0,1,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,3,0,1,course
0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,course
0,0,0,1,1,0,0,0,0,1,0,0,7,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,course
0,3,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,course
0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,course
0,2,0,0,1,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,course
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,course
1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,course
0,1,0,1,1,0,2,2,0,2,0,0,0,0,4,0,9,0,0,0,0,0,0,0,1,0,0,0,1,course
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,course
0,0,0,0,1,0,2,1,0,2,0,0,12,0,29,0,0,1,0,0,0,0,0,0,0,6,1,0,1,course
0,2,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,4,0,0,1,course
0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4,0,0,1,course
0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,course
0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,course
1,0,0,0,0,1,1,1,0,4,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,3,0,1,course
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,course
0,0,0,2,0,0,3,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,course
0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,course
0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,1,0,0,course
0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,course
0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,course
0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,course
0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,course
0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,course
0,0,0,0,0,5,1,1,0,2,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,course
0,0,0,1,0,6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,course
0,0,0,0,0,4,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,course
0,0,5,1,0,0,1,0,0,7,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0,8,0,0,0,course
1,0,0,0,0,6,4,0,0,9,1,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,1,0,0,course
3,0,0,0,0,2,3,3,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,1,course
3,0,0,0,0,2,6,3,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2,0,0,course
4,0,0,0,1,5,3,2,0,6,1,2,0,5,20,0,1,4,0,0,1,0,0,0,0,5,11,0,7,course
1,0,0,0,1,4,0,0,0,1,2,0,0,1,6,0,0,8,0,0,0,0,0,0,0,0,4,0,2,course
0,0,0,0,1,0,4,3,0,3,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,3,course
1,0,1,3,0,6,0,0,0,4,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,3,0,1,course
0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,course
0,0,1,0,0,4,8,3,0,3,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0,2,course
0,0,3,1,0,3,6,0,0,0,2,18,0,6,1,0,3,1,0,0,4,0,0,0,2,6,3,0,4,course
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,course
0,0,0,3,0,0,3,0,0,2,0,1,0,2,0,0,1,6,0,0,1,0,0,0,0,0,3,0,0,course
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,course
0,0,0,0,1,5,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,course
0,0,0,0,1,6,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,course
0,0,0,0,1,5,0,0,0,1,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,5,2,0,2,course
2,0,0,2,1,3,0,0,0,2,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,1,2,0,1,course
2,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,course
1,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,course
0,0,0,0,0,0,7,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,course
0,0,0,5,0,0,1,0,0,2,0,0,4,0,0,0,19,0,0,0,0,0,0,0,0,0,2,0,2,course
0,0,0,0,3,2,2,1,0,2,0,0,4,0,6,0,1,9,0,0,0,0,0,0,0,0,4,0,7,course
0,0,0,0,1,8,5,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2,course
0,0,0,0,0,2,3,1,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,2,0,0,2,course
0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,4,0,0,course
0,0,0,0,2,3,0,0,0,1,0,0,9,0,0,0,22,22,0,0,0,0,0,0,0,0,4,0,4,course
0,0,0,0,2,2,0,0,0,1,0,0,0,0,10,0,2,11,0,0,0,0,0,0,0,0,0,0,4,course
0,0,0,1,2,3,1,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,3,course
1,0,0,0,5,2,1,1,0,4,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,7,course
0,0,0,3,2,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,3,course
0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,3,course
0,0,0,1,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,course
0,0,0,0,0,7,8,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,course
0,0,0,0,0,4,1,2,0,9,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,8,1,0,0,course
0,0,0,0,0,1,0,0,0,5,0,1,2,0,0,0,5,1,0,0,0,0,0,0,0,7,3,0,0,course
0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,course
0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,course
0,0,4,1,2,2,5,1,0,3,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,1,0,2,course
1,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,course
0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,course
0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,course
0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,course
0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,course
0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,course
1,0,1,0,2,0,3,1,0,2,0,0,0,1,1,0,3,1,0,0,0,0,0,0,0,1,0,0,3,course
0,0,0,3,3,0,7,0,0,10,0,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,8,0,5,course
4,0,0,0,2,0,6,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,course
2,0,0,0,2,0,7,2,0,4,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5,0,2,course
0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,course
1,0,0,0,1,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,1,course
1,0,0,0,0,0,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,course
0,0,0,0,0,0,1,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,course
0,1,0,0,1,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,1,course
1,0,0,0,1,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,course
2,0,0,0,0,0,5,4,0,3,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,1,2,0,0,course
0,0,0,0,0,0,6,4,0,3,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,1,0,2,course
1,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,course
1,0,0,0,2,0,3,1,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,2,course
1,0,0,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,course
0,3,0,1,0,0,0,0,0,3,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,4,course
1,0,1,0,2,0,1,1,0,2,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,4,0,2,course
0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,2,course
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,course
0,0,0,0,1,0,0,0,0,1,0,0,2,0,5,0,2,0,0,0,0,0,0,0,0,0,1,0,2,course
0,0,0,0,5,0,0,0,0,1,1,1,7,0,6,0,2,0,0,0,0,0,0,0,0,0,2,0,5,course
0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,8,1,0,0,1,0,0,0,0,1,0,0,25,course
0,0,0,0,0,0,1,0,0,3,0,0,0,0,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,course
0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,1,course
0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1,course
0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,course
0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,course
0,0,3,0,0,2,4,1,0,4,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,course
0,0,0,0,0,0,0,0,0,1,0,1,2,0,4,0,2,0,0,0,0,0,0,0,0,1,1,0,0,course
0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,2,0,0,0,course
0,0,0,0,0,0,2,0,0,3,0,0,0,0,1,0,11,5,0,0,0,0,0,0,0,0,0,0,0,course
0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,course
0,0,0,2,1,0,0,0,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,course
0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,course
0,0,0,0,1,0,5,0,0,3,0,2,0,1,1,0,10,0,0,2,10,0,0,0,0,2,2,0,2,course
0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,course
0,2,0,0,0,0,7,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,course
0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,1,course
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,course
0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,course
0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,course
0,0,0,1,1,7,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,course
0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,course
0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,course
0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,course
0,0,0,0,0,2,6,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,course
0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,course
0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,course
0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,course
0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,course
0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,course
0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,course
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,course
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,course
0,0,0,0,0,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,course
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,course
0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,course
0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,course
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,course
0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,course
0,0,0,0,1,0,2,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,2,course
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,course
0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,course
1,0,0,0,4,14,2,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,3,course
0,0,0,0,0,0,2,0,0,3,0,0,2,0,2,0,0,2,0,0,0,0,0,0,1,2,1,0,0,course
0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,course
0,0,0,0,0,2,3,0,0,5,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,1,0,0,course
0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,course
0,0,1,0,2,1,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,course
1,0,0,9,0,7,0,0,0,1,0,0,5,0,12,0,0,12,0,0,0,0,0,0,0,1,0,0,1,course
0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,course
0,0,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,1,0,0,course
0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,course
1,0,1,2,1,12,2,0,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,2,course
0,0,0,0,0,0,2,0,0,2,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,course
0,0,0,0,0,0,2,1,0,3,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,course
0,0,0,0,0,2,9,1,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,course
1,0,0,0,0,2,6,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,course
0,0,2,0,2,1,6,3,0,10,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,4,1,0,2,course
0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,2,course
0,0,0,0,0,3,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,course
0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,course
0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,course
0,0,0,2,1,0,3,2,0,3,0,0,5,0,2,0,0,7,0,0,0,0,0,0,0,0,1,0,1,course
1,0,0,1,1,1,1,1,0,7,0,0,1,0,7,0,0,7,0,0,0,0,0,0,0,0,4,0,2,course
1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,course
0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,course
0,0,0,2,0,3,2,1,0,7,0,3,0,0,29,0,0,11,0,0,0,0,0,0,0,11,0,0,1,course
1,1,1,0,5,5,1,1,0,5,1,0,0,3,0,0,1,1,1,0,0,1,0,0,0,3,6,0,5,course
0,0,0,2,4,5,0,0,0,8,0,0,3,1,14,1,0,12,0,0,0,0,0,0,0,0,2,0,5,course
0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,3,course
0,0,0,0,4,0,7,1,0,1,2,0,0,2,3,1,2,4,0,0,5,0,0,0,0,1,1,0,4,course
0,0,0,0,2,2,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,2,course
1,0,0,1,1,0,2,0,0,5,1,0,6,0,0,0,1,1,0,0,0,0,0,0,1,3,2,0,3,course
1,0,0,0,0,2,4,0,0,3,1,0,2,1,11,0,11,2,0,0,0,0,0,0,0,2,3,0,0,course
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,course
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,course
0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,course
0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,course
1,0,0,0,1,0,1,1,0,10,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,3,0,1,course
1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,course
0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,course
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,course
